Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Type,"Reasoning for ""Population Type""",Intervention,Outcome Documentation,"Reasoning for ""Outcome Documentation""",Control Group,"Reasoning for ""Control Group""",Study Design,"Reasoning for ""Study Design""",Temporal Documentation,"Reasoning for ""Temporal Documentation""",subject size,"Reasoning for ""subject size""","Reasoning for ""Intervention""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
The Dental Management of Patients at Risk of Medication-Related Osteonecrosis of the Jaw: New Paradigm of Primary Prevention,"O. D. Fede, V. Panzarella, R. Mauceri, V. Fusco, A. Bedogni, L. Muzio, Sipmo Onj Board, G. Campisi",10.1155/2018/2684924,https://doi.org/10.1155/2018/2684924,BioMed Research International,127,2018,no,"The abstract discusses both cancer and non-cancer patients, and does not focus exclusively on non-cancer patients. Therefore, the study fails to meet the criterion of focusing on adult patients with diagnosed osteoporosis who do not have cancer.",maybe,no,"While MRONJ is discussed, this paper appears to be about prevention protocols rather than documenting specific outcomes. Therefore, the study fails to meet the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",maybe,"The abstract does not mention any control groups, so it is uncertain whether the study meets the criterion of including a control group of non-anti-resorptive medication users.",no,"This appears to be a review/protocol paper rather than a primary research study, and does not describe any specific study design. Therefore, the study fails to meet the criterion of having a study design of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"While timing of dental treatments is mentioned, this is in the context of prevention protocols rather than documenting specific temporal relationships. Therefore, the study fails to meet the criterion of clearly documenting both the temporal relationship between medication use and MRONJ development and the duration of medication use.",maybe,"The abstract does not mention any specific study size, so it is uncertain whether the study meets the criterion of having a subject size of more than 100 people.","The abstract mentions dental treatments but as a general concept, and does not describe specific study interventions. Therefore, it is uncertain whether the study meets the criterion of having an intervention of invasive dental treatment.",Exclude,"The abstract describes a protocol for medication-related osteonecrosis of the jaw prevention, but fails to meet multiple critical screening criteria including specific intervention type, population focus, and study design. Key shortcomings include lack of Romosozumab as the primary medication, absence of a clear research methodology, and no documentation of specific MRONJ outcomes or temporal relationships. The document appears to be a guidance paper rather than a primary research study meeting the predefined screening requirements.",0.1
Denosumab and osteonecrosis of the jaw. A systematic analysis of events reported in clinical trials.,"A. Boquete-Castro, G. Gómez-Moreno, J. Calvo-Guirado, A. Aguilar-Salvatierra, R. Delgado-Ruiz",10.1111/clr.12556,https://doi.org/10.1111/clr.12556,Clinical Oral Implants Research,148,2016,no,"The study specifically focuses on patients with solid tumors/cancer, which is explicitly excluded in the screening criteria.",maybe,maybe,"While ONJ outcomes are documented, the specific dental procedures leading to these outcomes are not clearly detailed in the abstract.",yes,The study includes control groups (bisphosphonates/placebo treatment).,yes,The study includes randomized controlled trials (RCTs).,maybe,"The abstract mentions ""first event apparition"" but doesn't clearly document the temporal relationship or duration of medication use.",yes,"The study includes 8,963 patients, which is well above the 100-person minimum.","While dental procedures are mentioned (dental extraction, removable apparatus), they are not the primary focus of the study but rather mentioned as risk factors.",Exclude,"The study focuses on denosumab in cancer patients, which fundamentally conflicts with the screening criteria requiring romosozumab in non-cancer osteoporosis patients. Critical mismatches in medication type and patient population render the study ineligible for inclusion, despite meeting some secondary screening requirements. The core exclusion criteria definitively disqualify this research from the systematic review.",0.1
Medication-related osteonecrosis of the jaw: An update on the memorial sloan kettering cancer center experience and the role of premedication dental evaluation in prevention.,"A. Owosho, See Toh Yoong Liang, Adi Z. Sax, Kant Wu, S. Yom, J. Huryn, C. Estilo",10.1016/j.oooo.2018.02.003,https://doi.org/10.1016/j.oooo.2018.02.003,"Oral surgery, oral medicine, oral pathology and oral radiology",47,2018,no,"The study appears to focus on cancer patients (Memorial Sloan Kettering Cancer Center), which explicitly violates the criterion of excluding cancer patients.",maybe,yes,The study clearly documents MRONJ outcomes and their relationship to dental procedures.,maybe,"While there are two groups (pre- and post-medication), these are not exactly control groups of non-users.",yes,This appears to be a retrospective cohort study based on database review.,yes,"The study documents temporal relationships between medication use and MRONJ development, including onset doses.",maybe,"The abstract does not specify the total number of subjects, though being from a major cancer center over a 10-year period suggests it likely exceeds 100.","While the study mentions ""dentoalveolar trauma"" and dental evaluation, it does not specifically detail the types of invasive dental procedures performed.",Exclude,"The study fails key screening criteria by focusing on cancer patients and using medications other than Romosozumab, which immediately disqualifies it from the systematic review. While the research demonstrates methodological rigor in examining medication-related osteonecrosis of the jaw, it does not meet the specific population and intervention requirements. Uncertainties around subject size and control group structure further complicate its potential inclusion.",0.1
Surgical Management of Medication-Related Osteonecrosis of the Jaw Is Associated With Improved Disease Resolution: A Retrospective Cohort Study.,"M. El-Rabbany, D. Lam, P. Shah, A. Azarpazhooh",10.1016/j.joms.2019.03.040,https://doi.org/10.1016/j.joms.2019.03.040,Journal of oral and maxillofacial surgery,27,2019,maybe,"The abstract mentions patients with osteoporosis (46 in surgical group, 20 in nonsurgical), but also includes patients with cancer (mentioned in the multivariate analysis). The age criterion isn't explicitly stated.",maybe,yes,The study clearly documents MRONJ outcomes and their resolution.,no,"The study compares surgical vs. nonsurgical treatment approaches, not anti-resorptive medication users vs. non-users.",yes,"This is a retrospective review, which fits within the acceptable study designs.",maybe,"While the study documents follow-up periods (median 15.5 months surgical, 11 months nonsurgical), it doesn't clearly specify the temporal relationship between medication use and MRONJ development.",no,"The study includes only 78 patients, which is below the required minimum of 100 subjects.","While the study deals with MRONJ, which typically follows dental procedures, the abstract doesn't explicitly state which dental procedures were performed. However, it's likely these were included given the MRONJ diagnosis.",Exclude,"The study fails to meet critical screening criteria, including the specific requirement for Romosozumab intervention and a minimum sample size of 100 patients. Multiple key elements are misaligned with the systematic review's requirements, particularly the intervention type, population composition, and control group design. These fundamental discrepancies render the study unsuitable for inclusion in the review.",1.4
Medication-related osteonecrosis of the jaw after tooth extraction in patients receiving pharmaceutical treatment for osteoporosis: A retrospective cohort study,"Keisuke Seki, T. Kaneko, Atsushi Kamimoto, M. Wada, Yoshimasa Takeuchi, Mika Furuchi, T. Iinuma",10.1016/j.jds.2022.03.014,https://doi.org/10.1016/j.jds.2022.03.014,Journal of Dental Sciences,11,2022,maybe,"While the study involves patients with osteoporosis, the abstract doesn't explicitly state that all patients are adults (≥18 years) or confirm the absence of cancer patients.",yes,yes,The study clearly documents MRONJ outcomes following tooth extraction procedures.,no,The abstract doesn't mention a control group of non-anti-resorptive medication users.,yes,"This is a retrospective cohort study, which meets the criterion.",yes,The study documents both the temporal relationship (mean duration of medication use was 40.4 months) and duration of medication use.,no,"The study only includes 40 patients (70 teeth), which is well below the required 100 subjects.","The study specifically focuses on tooth extraction procedures, which meets this criterion.",Exclude,"The study fails key screening criteria due to using bisphosphonates and denosumab instead of romosozumab, and having a sample size of only 40 patients, which is significantly below the required 100 subjects. While the research addresses dental extraction and MRONJ outcomes, critical methodological requirements are not met, rendering the study ineligible for inclusion in the systematic review.",1.4
Incidence and risk factors for medication‐related osteonecrosis after tooth extraction in cancer patients—A systematic review,"Nurda Schwech, J. Nilsson, P. Gabre",10.1002/cre2.698,https://doi.org/10.1002/cre2.698,Clinical and Experimental Dental Research,20,2022,no,"The abstract explicitly states the study focuses on ""cancer patients"", which does not meet the population type criterion that requires non-cancer patients.",yes,yes,"The abstract mentions MRONJ outcomes following tooth extractions, which meets the outcome documentation criterion.",maybe,"The abstract does not mention a control group, so it is not possible to determine if the study meets this criterion.",no,"The abstract indicates this is a systematic review, not a primary study, which does not meet the study design criterion.",maybe,"The abstract does not provide information about temporal relationships or duration of medication use, so it is not possible to determine if the study meets this criterion.",maybe,"The abstract does not specify the sample size, so it is not possible to determine if the study meets the subject size criterion.","The abstract specifically mentions tooth extractions, which is an invasive dental treatment as required by the criterion.",Exclude,"The systematic review focuses on cancer patients using bisphosphonates and denosumab, which fundamentally conflicts with the specified screening criteria requiring non-cancer patients and Romosozumab. Critical deviations include the wrong medication type, population, and study design, rendering the abstract incompatible with the predefined inclusion requirements.",0.1
Interventions for managing medication-related osteonecrosis of the jaw.,"Natalie H Beth-Tasdogan, B. Mayer, H. Hussein, O. Zolk, Jens-Uwe Peter",10.1002/14651858.cd012432,https://doi.org/10.1002/14651858.cd012432,Cochrane Database of Systematic Reviews,4,2022,maybe,"While the study includes patients with osteoporosis, it also includes cancer patients. The abstract doesn't clearly separate these populations in the results.",yes,yes,The study clearly documents MRONJ outcomes following specific dental procedures.,yes,"The studies described include control groups (standard care, placebo, or active control).",yes,The paper explicitly states it includes randomized controlled trials (RCTs).,maybe,"While the abstract mentions ""duration of exposure"" in the background, it doesn't clearly document temporal relationships between medication use and MRONJ development in the results.",yes,"The review includes 13 RCTs with 1668 total participants, well above the 100-person threshold.","The abstract discusses various dental procedures including dentoalveolar surgery, tooth extractions, and surgical interventions, which meet the intervention criteria.",Exclude,"The systematic review fails to meet key screening criteria, specifically the requirement for Romosozumab as the intervention medication. While the study includes multiple randomized controlled trials with a large sample size and documents dental procedures and MRONJ outcomes, the population includes both cancer and osteoporosis patients, and the intervention does not match the specified medication. These critical deviations from the screening criteria render the study unsuitable for inclusion.",1.4
Proposal for a preventive protocol for medication-related osteonecrosis of the jaw,"M. M. Romero-Ruiz, Marta Romero-Serrano, Ascensión Serrano-González, M. Serrera-Figallo, J. Gutierrez-Perez, D. Torres-Lagares",10.4317/medoral.24197,https://doi.org/10.4317/medoral.24197,Medicina Oral,18,2020,no,"The paper includes both osteoporosis and cancer patients, and does not focus exclusively on adult osteoporosis patients without cancer.",no,no,"While MRONJ is discussed, this paper does not report actual outcomes. It focuses on developing preventive protocols rather than documenting outcomes.",no,"This is not an interventional study, and no control group is mentioned.",no,"This is a literature review/protocol development paper, and does not match any of the required study designs (RCT, cohort, or case-control).",no,"While the paper mentions duration of drug application as a variable, it does not document actual temporal relationships. This is a protocol paper, not an outcomes study.",no,"This is a protocol development paper based on literature review, and no specific subject size is mentioned.","The paper discusses dental implant treatment and preventive measures, but this is a protocol paper, not a study of actual treatments.",Exclude,"This protocol development paper fails to meet multiple screening criteria, including specific medication use, subject size, intervention type, and study design. The literature review focuses on developing preventive protocols for medication-related osteonecrosis of the jaw, but does not constitute an interventional study with documented outcomes. Consequently, the paper does not align with the required research parameters for inclusion.",0.1
Medication-related osteonecrosis of the jaw: Clinical and practical guidelines,"D. Rosella, P. Papi, R. Giardino, E. Cicalini, L. Piccoli, G. Pompa",10.4103/2231-0762.178742,https://doi.org/10.4103/2231-0762.178742,Journal of International Society of Preventive and Community Dentistry,152,2016,maybe,"The abstract mentions patients with MRONJ but does not specify age groups, and there is no clear distinction between cancer and non-cancer patients.",no,no,"While MRONJ outcomes are discussed, this is not a study documenting specific outcomes, and no specific dental procedures and their outcomes are reported.",no,"No mention of control groups, as this appears to be a review rather than a comparative study.",no,"This is clearly a review paper, not a primary research study, and does not match any of the required study designs.",no,"No specific temporal relationships or medication durations are documented, as this is a general review of MRONJ.",no,"The abstract does not mention any specific study size, and this appears to be a review paper rather than a primary research study.","While dental procedures are mentioned, this is a general review of MRONJ, and no specific intervention study is described.",Exclude,"This review article on medication-related osteonecrosis of the jaw fails to meet the specified screening criteria, lacking specific details about Romosozumab, subject size, intervention specifics, population characteristics, control groups, study design, outcome documentation, and temporal relationships. The paper provides a general overview of MRONJ pathophysiology and management strategies but does not constitute a primary research study that would satisfy the required screening parameters.",0.1
Risk evaluation of denosumab and zoledronic acid for medication-related osteonecrosis of the jaw in patients with bone metastases: a propensity score–matched analysis,"H. Ikesue, Kohei Doi, M. Morimoto, M. Hirabatake, Nobuyuki Muroi, S. Yamamoto, T. Takenobu, T. Hashida",10.1007/s00520-021-06634-7,https://doi.org/10.1007/s00520-021-06634-7,Supportive Care in Cancer,14,2021,no,"The study specifically focuses on patients with cancer who received treatment for bone metastasis, which explicitly violates the criterion requiring non-cancer patients.",yes,yes,"The study clearly documents MRONJ outcomes following dental procedures, particularly tooth extraction.",maybe,"While there is a comparison between two treatment groups (denosumab vs. zoledronic acid), this doesn't meet the specific requirement for a control group of non-anti-resorptive medication users.",yes,"This is a retrospective cohort study, which meets the acceptable study design criteria.",yes,"The study appears to document the temporal relationship between medication use and MRONJ development, as evidenced by the analysis of risk factors and timing of tooth extraction.",yes,"The study includes 799 patients, well above the minimum requirement of 100.","The study mentions tooth extraction and dental procedures, though specific details are limited in the abstract.",Exclude,"The study fails key screening criteria by focusing on cancer patients and using denosumab and zoledronic acid instead of the specified romosozumab medication. While the research demonstrates methodological rigor with a large sample size and clear outcome documentation, critical population and intervention mismatches disqualify it from meeting the systematic review's requirements.",0.1
Prediction of medication-related osteonecrosis of the jaw (MRONJ) using automated machine learning in patients with osteoporosis associated with dental extraction and implantation: a retrospective study,"Dahui Kwack, S. Park",10.5125/jkaoms.2023.49.3.135,https://doi.org/10.5125/jkaoms.2023.49.3.135,Journal of the Korean Association of Oral and Maxillofacial Surgeons,6,2023,maybe,"The study includes adult patients (≥55 years) with osteoporosis, but doesn't explicitly state they don't have cancer. However, the focus appears to be on osteoporosis patients without mention of cancer.",yes,yes,The study specifically documents MRONJ outcomes following dental procedures (extractions and implantation).,no,The abstract doesn't mention a control group of non-anti-resorptive medication users. The study appears to focus only on patients receiving antiresorptive therapy.,yes,"This is a retrospective chart review, which falls under the acceptable study designs.",yes,"The study considers ""medication administration and duration"" and appears to document the temporal relationship between medication use and MRONJ development.",yes,"The study includes 340 patients, well above the minimum requirement of 100.","The study explicitly includes patients undergoing ""tooth extraction or implantation,"" which meets the criterion for invasive dental treatment.",Include,"A retrospective study of 340 osteoporosis patients undergoing dental procedures reveals machine learning models for predicting medication-related osteonecrosis of the jaw, with comprehensive documentation of intervention and outcomes. While meeting most screening criteria, the study critically fails to specify Romosozumab as the anti-resorptive medication and lacks a control group of non-medication users. The research provides insights into MRONJ prediction but does not fully align with the precise screening requirements.",2.5
"Is the prevalence of the medication-related osteonecrosis of the jaws underestimated, evaluation in oncological and non-oncological disease.","B. Gális, J. Zajko, D. Hirjak, L. Vanko, I. Kupcová, J. Jurkemík, P. Gengelova, K. Mikušková, K. Halmova, M. Riznic, L. Czako",10.4149/BLL_2017_137,https://doi.org/10.4149/BLL_2017_137,Bratislava Medical Journal,20,2017,no,"The study includes both oncologic and non-oncologic patients, specifically mentioning breast cancer, prostate cancer, and multiple myeloma patients, so it is not exclusively focused on non-cancer patients and does not meet this criterion.",no,no,"The study reports MRONJ outcomes but does not specify the dental procedures leading to MRONJ, so it does not meet this criterion.",no,"There is no mention of a control group, and the study appears to be prevalence-based rather than comparative, so it does not meet this criterion.",no,"The study appears to be a multi-centric prevalence study, which does not match the required study designs (RCT, cohort, or case-control), so it does not meet this criterion.",no,"There is no clear documentation of the temporal relationship between medication use and MRONJ, and no mention of medication duration, so the study does not meet this criterion.",yes,"The study includes 1166 MRONJ patients, which meets the subject size criterion.","There is no specific mention of dental procedures, and the focus is on MRONJ prevalence rather than specific dental interventions, so the study does not meet this criterion.",Exclude,"The study fails to meet multiple critical screening criteria, including specific medication type, dental intervention details, population exclusivity, and study design requirements. While the research provides a comprehensive prevalence analysis of medication-related osteonecrosis of the jaw, it does not align with the precise methodological and population specifications sought in the screening protocol. Consequently, the abstract does not qualify for inclusion based on the established criteria.",1.4
Management von medikamentenassoziierten Kiefernekrosen – Ergebnisse einer Literaturanalyse neuester Studien im Vergleich zu bewährten Strategien,"M. Tröltzsch, M. Tröltzsch, C. Pautke, S. Otto",10.1007/s00106-021-01130-0,https://doi.org/10.1007/s00106-021-01130-0,HNO (Berlin. Print),5,2022,maybe,"The abstract mentions both oncological and osteological (osteoporosis) patients, and it does not explicitly state that cancer patients are excluded. Age criteria are also not specified.",maybe,maybe,"MRONJ outcomes are discussed generally, but specific dental procedures and their outcomes are not detailed.",maybe,"No mention of control groups in the abstract, and this is a systematic review rather than a primary study.",no,"This is a systematic review, not a primary study of the required design types, and while it reviews such studies, it doesn't match the required study designs itself.",no,No specific temporal relationships or medication duration are mentioned.,maybe,"The abstract does not specify the number of subjects in the studies reviewed, and since this is a systematic review of multiple studies, individual study sizes are not mentioned.","The abstract discusses MRONJ in relation to dental procedures but doesn't specify which procedures, so while dental procedures are implied, specific interventions are not detailed.",Exclude,"The systematic review fails to meet critical screening criteria, particularly the specific requirement for Romosozumab intervention and the need for a primary study design. Multiple key elements are either partially met or completely unaddressed, including subject size, population type, control group, and temporal documentation of medication use and outcomes. The broad nature of the review and lack of specificity in key areas render it unsuitable for the defined screening requirements.",1.4
A systematic review assessing occurrence of medication-related osteonecrosis of the jaw following dental procedures,"Shimelly Monteiro de Castro Lara, F. Muniz, Ana C. R. Geronimo, Cinthia Studzinski dos Santos, Thayanne Brasil Barbosa Calcia",10.20396/bjos.v21i00.8666585,https://doi.org/10.20396/bjos.v21i00.8666585,Brazilian Journal of Oral Sciences,1,2022,maybe,"The study includes adults (mean age 64 years) but also includes cancer patients, which is explicitly excluded in the criteria. The abstract doesn't specify if non-cancer patients were included.",yes,yes,"The study clearly documents MRONJ outcomes following dental procedures, particularly tooth extractions.",maybe,"As a systematic review, it likely includes studies with control groups, but this isn't explicitly stated in the abstract.",maybe,The abstract doesn't specify the study designs of the included papers.,maybe,"While the study examines the relationship between dental procedures and MRONJ, the abstract doesn't specify if it documents the temporal relationship and duration of medication use.",maybe,"The abstract does not explicitly state the total subject size, so it is unclear if the study meets the requirement of having more than 100 participants.","The study explicitly focuses on dental procedures including tooth extractions and periodontal therapy, which meets the intervention criterion.",Exclude,"The systematic review fails to meet critical screening criteria, specifically the requirement for Romosozumab as the intervention medication. While the study addresses dental procedures and MRONJ outcomes, the inclusion of cancer patients and use of different bone-modifying drugs disqualifies it from meeting the specified screening requirements. Multiple key criteria remain unclear, further compromising the study's alignment with the predefined screening standards.",1.4
Dental Implant Placement in Patients with a History of Medications Related to Osteonecrosis of the Jaws: A Systematic Review.,"J. Sher, K. Kirkham-Ali, Denny Luo, Catherine M Miller, D. Sharma",10.1563/aaid-joi-d-19-00351,https://doi.org/10.1563/aaid-joi-d-19-00351,Journal of Oral Implantology,32,2020,maybe,"While the study includes patients with osteoporosis, it also includes patients with malignancy, which is explicitly excluded in the criteria. The age criterion is not explicitly stated.",yes,yes,The study specifically documents MRONJ outcomes following dental procedures (implant placement).,maybe,"The abstract does not explicitly mention control groups, though the inclusion of case-control studies suggests some studies may have had controls.",yes,"The abstract includes cohort studies, case-control studies, and case series, which meet the criteria for study design.",maybe,"While the abstract mentions ""history of"" drug therapy, it does not clearly document the temporal relationship or duration of medication use.",maybe,"The abstract does not specify the total number of subjects across the included studies, so it is unclear if the subject size exceeds 100 people.","The study specifically focuses on dental implant placement, which is one of the specified invasive dental treatments.",Exclude,"The systematic review fails to meet critical screening criteria, specifically the requirement for Romosozumab as the intervention medication. While the study addresses dental implant placement and includes various study designs, it includes cancer patients and does not focus exclusively on osteoporosis patients using the specified medication. Multiple screening criteria remain partially or completely unmet, rendering the study non-compliant with the established requirements.",1.4
The role of antiresorptive drugs and medication-related osteonecrosis of the jaw in nononcologic immunosuppressed patients: A systematic review,"R. Sacco, Julian Woolley, J. Yates, M. Calasans-Maia, O. Akintola, V. Patel",10.4103/JRMS.JRMS_794_20,https://doi.org/10.4103/JRMS.JRMS_794_20,Journal of Research in Medical Sciences,5,2021,no,"The study focuses on immunosuppressed patients, not specifically osteoporosis patients, and there is no mention of age restrictions. This indicates that the study does not meet the criterion of focusing exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",yes,yes,"The study clearly documents MRONJ outcomes following dental procedures, which meets the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",no,"There is no mention of a control group in the study, which means it does not meet the criterion of including a control group of non-anti-resorptive medication users.",no,"The study is a systematic review, not a primary study, which means it does not meet the criterion of having a study design of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"There is no clear documentation of the temporal relationship between medication use and MRONJ development, or the duration of medication use, which means the study does not meet the criterion of clearly documenting both the temporal relationship and duration of medication use.",yes,"The study includes a total of 206 patients, which meets the criterion of having a subject size of more than 100 people.","The study clearly includes dental extractions (n=197) as an intervention, which meets the criterion of having an intervention of invasive dental treatment.",Exclude,"The systematic review fails to meet critical screening criteria, particularly the specific intervention of Romosozumab and the required population of osteoporosis patients. Multiple key requirements were not satisfied, including study design, control group presence, and precise population characteristics. Consequently, the study does not align with the predefined screening parameters and would be excluded from further review.",0.1
Pharmacogenetics of medication-related osteonecrosis of the jaw: a systematic review and meta-analysis.,"Z. Guo, W. Cui, L. Que, C. Li, Xiu-fa Tang, J. Liu",10.1016/j.ijom.2019.07.016,https://doi.org/10.1016/j.ijom.2019.07.016,International Journal of Oral & Maxillofacial Surgery,20,2020,no,"The study includes multiple myeloma patients, which violates the criterion of excluding cancer patients. The age range is also not specified, so this criterion is not met.",no,no,"While MRONJ is the outcome, the abstract doesn't specify documentation of dental procedures, so this criterion is not met.",maybe,"The study appears to compare MRONJ vs non-MRONJ groups, but it's unclear if these are specifically non-anti-resorptive medication users, so this criterion is uncertain.",no,"This is a systematic review, not a primary study of the required designs, so this criterion is not met.",no,"The abstract doesn't mention temporal relationships or duration of medication use, so this criterion is not met.",yes,"The study includes 1515 participants, which exceeds the minimum requirement of 100, so this criterion is met.","The abstract does not specify any dental procedures or interventions, which is a critical missing element.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including the specific medication requirement, population type, and study design. Key deficiencies include the use of bisphosphonates instead of Romosozumab, inclusion of cancer patients, and lack of documentation for dental interventions and temporal medication use. These fundamental deviations from the screening criteria render the study unsuitable for inclusion in the systematic review.",0.1
Risk factors associated with onset of medication-related osteonecrosis of the jaw in patients treated with denosumab,"A. Wick, Philipp Bankosegger, S. Otto, B. Hohlweg-Majert, T. Steiner, F. Probst, O. Ristow, C. Pautke",10.1007/s00784-021-04261-4,https://doi.org/10.1007/s00784-021-04261-4,Clinical Oral Investigations,19,2021,no,"The study includes patients with cancer (specifically mentions breast cancer), which is explicitly excluded in the criteria. While it includes osteoporosis patients, the mixed population doesn't meet the criteria.",maybe,maybe,"While MRONJ outcomes are documented, the abstract doesn't clearly specify which dental procedures were performed in relation to MRONJ development.",yes,"The study includes a control group (Group I, n=40) of patients receiving DNO without MRONJ.",yes,"The study is described as a ""retrospective single-center cohort study,"" which meets the acceptable study design criteria.",maybe,The abstract doesn't explicitly document the temporal relationship between medication use and MRONJ development or the duration of medication use.,yes,"The study includes 128 patients, which exceeds the minimum requirement of 100 subjects.","While the abstract mentions ""trauma"" and ""oral inflammation"" as risk factors, it doesn't explicitly state that all subjects underwent invasive dental procedures. However, it does mention denture use as a risk factor.",Exclude,"The study focuses on Denosumab rather than Romosozumab, and includes cancer patients, which immediately disqualifies it from meeting the specified screening criteria. While the research demonstrates methodological rigor with a robust sample size and control group, critical deviations from the required intervention and population type render the study non-compliant with the predefined screening requirements.",1.4
A 5-year retrospective cohort study of denosumab induced medication related osteonecrosis of the jaw in osteoporosis patients,"Seoyeon Jung, Jaeyeon Kim, Jin Hoo Park, Kiyomi Kim, Hyung Jun Kim, Wonse Park",10.1038/s41598-022-11615-9,https://doi.org/10.1038/s41598-022-11615-9,Scientific Reports,13,2022,maybe,"While the study involves osteoporotic patients, the abstract doesn't explicitly state that all patients are adults (≥18 years) or confirm the absence of cancer patients.",yes,yes,The study clearly documents MRONJ outcomes following specific dental procedures (tooth extraction).,no,"The study compares two groups of denosumab users (one with prior bisphosphonate use), but does not include a control group of non-anti-resorptive medication users.",maybe,"The study design is not explicitly stated in the abstract, though it appears to be a retrospective cohort study based on the methodology described.",yes,"The study documents the temporal relationship between medication use and MRONJ development, including cases that developed MRONJ before and after tooth extraction.",yes,"The study includes 98 patients, which exceeds the minimum requirement of 100, though it is very close to the threshold.","The study explicitly focuses on invasive dental treatment, specifically tooth extraction.",Exclude,"The study focuses on denosumab for osteoporosis patients, which fundamentally differs from the specified romosozumab intervention, representing a critical screening criterion mismatch. While the research meets several other criteria such as subject size, dental intervention, and outcome documentation, the primary intervention deviation disqualifies the study from meeting the core screening requirements.",1.4
"A case report of bevacizumab-related osteonecrosis of the jaw: old problem, new culprit.","U. Disel, A. Besen, Ö. Özyi̇lkan, E. Er, T. Canpolat",10.1016/j.oraloncology.2011.07.030,https://doi.org/10.1016/j.oraloncology.2011.07.030,Oral Oncology,38,2012,no,"The abstract does not specify the age range of the patients and focuses on patients with cancer, which is explicitly excluded in the criteria.",maybe,maybe,"The abstract does document MRONJ outcomes, but the specific dental procedures are not clearly documented.",no,"The abstract does not mention a control group, and the study appears to be a review of cases rather than a comparative study.",no,"The paper is a review article, not a primary research study, and does not match any of the required study designs.",no,The abstract does not provide clear documentation of the temporal relationships or duration of medication use.,no,"The total number of patients included in the study was 36, which is well below the required minimum of 100 subjects.","The abstract mentions ""invasive dental procedures"" as triggers for MRONJ, but does not provide details on the specific procedures.",Exclude,"The study fails multiple critical screening criteria, including using the wrong medication, having an insufficient sample size, focusing on cancer patients, and being a review rather than a primary research study. Specifically, the research does not involve Romosozumab, lacks a control group, and does not meet the required study design or population specifications. These fundamental deviations from the screening requirements render the paper unsuitable for inclusion in the systematic review.",0.1
Osteonecrosis of the Jaw Associated with Antiangiogenics in Antiresorptive-Naïve Patient: A Comprehensive Review of the Literature,"Kununya Pimolbutr, S. Porter, S. Fedele",10.1155/2018/8071579,https://doi.org/10.1155/2018/8071579,BioMed Research International,62,2018,no,"The study includes patients with cancer (specifically mentions metastatic renal cell cancer as the most common underlying disease), which is explicitly excluded in the criteria.",maybe,maybe,"While MRONJ outcomes are documented, they're not specifically tied to the dental procedures in a systematic way.",no,The abstract doesn't mention a control group of non-anti-resorptive medication users.,no,"This appears to be a literature review rather than a primary research study (RCT, cohort, or case-control study).",maybe,"The abstract mentions duration of antiangiogenic therapy before MRONJ development (6.5 and 16.72 months), but this isn't for the specific medication of interest (Romosozumab).",no,"The study reports on only 35 patients, which is well below the required minimum of 100 subjects.","The abstract mentions dental extraction as a risk factor (37.14% of cases), but this isn't the primary focus of the study.",Exclude,"The study fails to meet multiple critical screening criteria, including the wrong intervention type, insufficient sample size, and inclusion of cancer patients. Fundamental differences in medication focus, study design, and population characteristics render this paper unsuitable for the systematic review. The abstract describes a literature review on antiangiogenics in antiresorptive-naïve patients, which diverges significantly from the specified research parameters.",0.1
Medication-related osteonecrosis of the jaw: risk factors in patients under biphosphonate versus patients under antiresorptive-antiangiogenic drugs.,"G. Ghidini, M. Manfredi, I. Giovannacci, G. Mergoni, A. Sarraj, Maura Mureddu, G. Giunta, M. Bonanini, M. Meleti, P. Vescovi",10.23736/S0026-4970.17.04056-0,https://doi.org/10.23736/S0026-4970.17.04056-0,Minerva Stomatologica,19,2017,no,"The study explicitly mentions patients with oncologic disease, which is specifically excluded in the criteria. The abstract doesn't clearly indicate if any patients had non-cancer osteoporosis.",yes,yes,The study clearly documents MRONJ outcomes following specific dental procedures.,no,No mention of a control group of non-anti-resorptive medication users. The comparison is between different types of anti-resorptive medication users.,yes,"This is a retrospective cohort study, which meets the criteria.",maybe,"While the study period is documented (2004-2016), the abstract doesn't clearly specify the temporal relationship between medication use and MRONJ development or the duration of medication use.",yes,"The study includes 303 patients, well above the minimum requirement of 100.","The study mentions dental extraction, bone surgery, and other dental procedures as triggers for MRONJ.",Exclude,"The study fails key screening criteria by focusing on bisphosphonates and antiresorptive-antiangiogenic drugs instead of Romosozumab, and by including cancer patients which are explicitly excluded. While the research demonstrates a robust sample size and appropriate study design, critical mismatches with the specified intervention and population type render the study non-compliant with the established screening requirements.",1.4
