Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population - Age and Diagnosis,"Reasoning for ""Population - Age and Diagnosis""",Population - Cancer Status,"Reasoning for ""Population - Cancer Status""",Intervention,"Reasoning for ""Intervention""",Control Group,"Reasoning for ""Control Group""",Dental Procedures,"Reasoning for ""Dental Procedures""",MRONJ Definition,"Reasoning for ""MRONJ Definition""",Study Design,"Reasoning for ""Study Design""",Subject Size,"Reasoning for ""Subject Size""",follow up period,"Reasoning for ""follow up period""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Medication-related osteonecrosis of the jaw (MRONJ) treated with piezosurgery – case report and review of literature,"A. Perini, G. Oliveira, F. Seguin",10.21726/RSBO.V15I2.679,https://doi.org/10.21726/RSBO.V15I2.679,RSBO,1,2018,yes,"The patient is 66 years old (an adult) and was being treated with bisphosphonates, though the specific diagnosis of osteoporosis is not explicitly stated.",maybe,The abstract does not mention the cancer status of the patient.,yes,The study examines parenterally-administered bisphosphonate (alendronate) medication for osteoporosis treatment.,no,"As a case report, the study does not include a control group of patients not receiving anti-resorptive medications.",yes,The study reports MRONJ incidence following a specifically documented invasive dental procedure (tooth extraction).,maybe,The abstract does not explicitly state the diagnostic criteria used to define MRONJ.,no,"The study design is a case report, which does not meet the required study design criteria of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The study has a subject size of only 1 patient, which is far below the required minimum of 100 patients.",maybe,"The abstract does not explicitly state the follow-up period, though it mentions treatment attempts over time.",Exclude,"This single-patient case report fails to meet multiple critical screening criteria, including the required minimum sample size of 100 patients and the specified study design requirements. The lack of a control group and absence of comprehensive diagnostic criteria further disqualify the study from systematic review inclusion. Despite documenting a dental procedure and bisphosphonate intervention, the fundamental methodological limitations render the paper unsuitable for the review.",0.1
Radiographic bone loss and the risk of medication‐related osteonecrosis of the jaw (MRONJ) in multiple myeloma patients—A retrospective case control study,"Taggreed Wazzan, D. Kashtwari, W. Almaden, Y. Gong, Yiqing Chen, J. Moreb, J. Katz",10.1111/scd.12318,https://doi.org/10.1111/scd.12318,"Special Care in Dentistry: managing special patients, settings, and situations",11,2018,no,"The study population consists of multiple myeloma patients, not osteoporosis patients. While they are likely adults, this does not meet the specific population criterion.",no,"The study specifically focuses on multiple myeloma patients, who have cancer, failing this criterion.",no,"The study examines bisphosphonate treatments, but specifically in multiple myeloma patients, not for osteoporosis treatment.",no,The study does not appear to include a control group of patients not receiving anti-resorptive medications.,no,"The abstract does not specifically document invasive dental procedures, such as tooth extraction, implant placement, periodontal surgery, oral surgery, or removable prosthesis. While it mentions ""dental trauma"" and ""missing teeth,"" it does not clearly report MRONJ incidence following these specific dental procedures.",maybe,"While MRONJ is mentioned, the abstract does not clearly define the diagnostic criteria used.",yes,"This appears to be a retrospective chart review study, which would qualify as a retrospective cohort study.",yes,"The study includes 116 patients (100 MM patients + 16 MM patients with MRONJ), meeting the minimum requirement of 100 patients.",maybe,The abstract does not mention any follow-up period.,Exclude,"The study fails to meet multiple critical screening criteria, including the required patient population, intervention type, and control group composition. Specifically, the research focuses on multiple myeloma patients receiving bisphosphonates, which diverges from the systematic review's targeted osteoporosis population. Key methodological elements such as follow-up period, specific dental procedures, and MRONJ diagnostic criteria are either unclear or not addressed.",1.4
"Letter to the Editor from [Taguchi]: ""(Osteonecrosis of the Jaw and Antiresorptive Agents in Benign and Malignant Diseases: A Critical Review Organized by the ECTS)"".",A. Taguchi,10.1210/clinem/dgac109,https://doi.org/10.1210/clinem/dgac109,Journal of Clinical Endocrinology and Metabolism,0,2022,yes,"The abstract mentions postmenopausal women with osteoporosis, suggesting adult patients with primary osteoporosis diagnosis.",maybe,The abstract doesn't specify whether patients with cancer were excluded.,maybe,"The abstract discusses antiresorptive therapy and specifically mentions alendronate and raloxifene, but doesn't clearly specify if these are parenterally-administered for osteoporosis treatment.",no,The study appears to compare different medications (alendronate vs raloxifene) but doesn't mention a control group without anti-resorptive medications.,no,"The abstract does not specifically document or report MRONJ incidence following specific dental procedures. While it mentions periodontal disease and oral health care, it doesn't focus on tracking outcomes of specific dental interventions.",maybe,"While MRONJ is discussed, the abstract doesn't clearly define or specify which diagnostic criteria were used.",yes,"The abstract mentions a ""retrospective, large-scale, multicenter study"" which would qualify as a retrospective cohort study.",yes,"The abstract mentions a study with ""more than 300 million patients across 9 databases,"" which far exceeds the 100 patient minimum.",maybe,The abstract does not specify any follow-up period.,Include,"The abstract discusses osteoporosis and medication-related jaw necrosis but lacks specific documentation of dental procedures and MRONJ incidence. While the study involves a large patient population and appears to be a retrospective cohort study, it fails to meet several critical screening criteria, including clear MRONJ diagnostic criteria and a control group. The text appears more like a commentary or letter to the editor rather than a primary research article suitable for systematic review.",2.5
The impact of surgical intervention and antibiotics on MRONJ stage II and III - Retrospective study.,"M. Zirk, M. Kreppel, Johannes Buller, Julij Pristup, F. Peters, T. Dreiseidler, M. Zinser, J. Zöller",10.1016/j.jcms.2017.05.027,https://doi.org/10.1016/j.jcms.2017.05.027,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,33,2017,no,"While osteoporosis is mentioned as one of the main indications, the abstract also mentions ""metastatic bone disease"" and does not specify that the study exclusively includes osteoporosis patients. Age criteria are not mentioned.",no,The inclusion of patients with metastatic bone disease suggests that not all participants were cancer-free.,maybe,"The abstract mentions bisphosphonates but does not specify if they were parenterally administered. It also mentions ""anti-resorptive agent therapy"" broadly, without clear specification of the route of administration.",no,No control group is mentioned in the abstract.,no,"The abstract does not specifically document the initial dental procedures leading to MRONJ. While it discusses surgical interventions for treatment, it does not detail the initial dental procedures that led to MRONJ development.",maybe,"The study uses established MRONJ staging (II and III), suggesting use of established diagnostic criteria, though the specific criteria are not detailed in the abstract.",yes,"The abstract explicitly states this is a ""retrospective study,"" which meets the criteria.",yes,"The study includes 143 patients, which exceeds the minimum requirement of 100 patients.",yes,"The study mentions ""an event free time period of at least 12 months,"" which exceeds the 6-month requirement.",Include,"The study fails to meet several critical screening criteria, including lack of clear documentation of initial dental procedures, absence of a control group, and inclusion of patients with metastatic bone disease alongside osteoporosis patients. While the research demonstrates strengths in sample size and follow-up period, significant methodological limitations prevent it from satisfying the comprehensive screening requirements. The mixed patient population and unclear intervention specifics further compromise its alignment with the established screening criteria.",2.7
Genome‐wide Association Study Identified Chromosome 8 Locus Associated with Medication‐Related Osteonecrosis of the Jaw,"Guang Yang, Sonal Singh, C. McDonough, J. Lamba, Issam S. Hamadeh, L. Holliday, Danxin Wang, J. Katz, P. Lakatos, B. Balla, J. Kósa, G. Pelliccioni, D. Price, S. V. Van Driest, W. Figg, T. Langaee, J. Moreb, Y. Gong",10.1002/cpt.2397,https://doi.org/10.1002/cpt.2397,Clinical pharmacology and therapy,11,2021,no,"The study includes both cancer and osteoporosis patients, not exclusively osteoporosis patients. Age criteria are not specified.",no,"The study explicitly includes patients with cancer, which violates this criterion.",maybe,"The study examines both intravenous and oral bisphosphonates, but includes patients receiving them for both cancer and osteoporosis treatment. It's not exclusively focused on parenteral administration for osteoporosis.",maybe,"The study includes controls (4,564 controls), but they are not specifically described as patients not receiving anti-resorptive medications.",no,"The abstract does not specifically mention or document invasive dental procedures. While it studies MRONJ, it focuses on genetic markers rather than dental procedures.",maybe,"While MRONJ is the focus, the abstract doesn't explicitly state the diagnostic criteria used.",no,"This is a genome-wide association study (GWAS) meta-analysis, which doesn't fit the specified study designs (RCT, cohort, or case-control).",yes,"The study includes 5,008 individuals (444 cases and 4,564 controls), well exceeding the 100 patient requirement.",maybe,The abstract does not mention any follow-up period.,Exclude,"The study fails to meet multiple screening criteria, including lack of focus on specific dental procedures, inclusion of cancer patients, and a genome-wide association study design that differs from the required methodological approaches. While the research involves a large sample size and examines bisphosphonate-related osteonecrosis, it does not align with the systematic review's specific requirements for population, intervention, and study design.",1.4
Medication‐related to osteonecrosis of the jaw affect dental implant success? A systematic review,"M. D. P. R. Sanchez, Lamis Meorin Nogueira, R. M. Pinheiro, M. Haddad, Diana Lucia Bettin Yanez, Francy Osorio, J. Gale",10.1111/clr.478_13509,https://doi.org/10.1111/clr.478_13509,Clinical Oral Implants Research,0,2019,maybe,The abstract doesn't specify the age range or whether patients had primary osteoporosis diagnosis.,maybe,No information is provided about cancer status of participants.,yes,"The study examines both oral and intravenous bisphosphonates, though it's not explicitly stated these are for osteoporosis treatment.",maybe,The abstract doesn't mention whether the included studies had control groups.,yes,"The study focuses on dental implants, which is one of the specified invasive dental procedures. However, the paper is a systematic review rather than a primary study reporting MRONJ incidence.",maybe,"While MRONJ is discussed, the abstract doesn't explicitly state whether established diagnostic criteria were used.",no,"This is a systematic review, not a primary study of the required design types (RCT, cohort, or case-control).",maybe,"The abstract mentions 106 cases across 8 studies, but this is a systematic review rather than a primary study. The individual study sizes are not clearly stated.",yes,"The abstract mentions a mean interval of 42 months between implant placement and MRONJ development, exceeding the 6-month requirement.",Exclude,"The systematic review fails to meet multiple screening criteria, primarily because it is not a primary research study and lacks explicit details about patient population, control groups, and diagnostic criteria. While addressing dental implants and medication-related osteonecrosis, the abstract does not provide sufficient information to confirm compliance with the specified research parameters. The study's design and limited reporting prevent it from satisfying the comprehensive screening requirements.",1.4
Medication-Related Osteonecrosis of the Jaw.,"Keiichi Ohta, H. Yoshimura",10.1016/j.amjms.2020.04.009,https://doi.org/10.1016/j.amjms.2020.04.009,American Journal of the Medical Sciences,4,2020,no,"The patient was an adult (79 years), but had prostate cancer rather than osteoporosis as the primary diagnosis.",no,"The patient had bone metastatic prostate cancer, explicitly failing this criterion.",no,"The patient received zoledronic acid and denosumab for bone metastatic prostate cancer, not for osteoporosis treatment as required.",no,"As a case report, the study did not include a control group of patients not receiving anti-resorptive medications.",yes,"The study clearly documented tooth extraction as the invasive dental procedure, meeting this criterion.",yes,"The study appears to use established diagnostic criteria for MRONJ, as evidenced by the clinical and radiological findings described.",no,"The study design was a case report, which does not meet the required study design criteria of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The study had a sample size of only one patient, which is far below the required 100 patients.",yes,"The study included a 6-month follow-up period, meeting this criterion.",Exclude,"This single-patient case report fails multiple critical screening criteria, including insufficient sample size, inappropriate study design, and deviation from the specified population characteristics. The patient's cancer diagnosis and treatment with antiresorptive drugs for prostate cancer metastasis disqualify the study from meeting the required systematic review parameters. Consequently, the paper does not meet the fundamental screening requirements for inclusion.",0.1
CT imaging features of antiresorptive agent-related osteonecrosis of the jaw/medication-related osteonecrosis of the jaw.,"A. Baba, T. Goto, H. Ojiri, M. Takagiwa, Chiho Hiraga, M. Okamura, S. Hasegawa, Yumi Okuyama, Nobuhiro Ogino, H. Yamauchi, Y. Kobashi, S. Yamazoe, Yohei Munetomo, T. Mogami, T. Nomura",10.1259/dmfr.20170323,https://doi.org/10.1259/dmfr.20170323,Dento maxillo facial radiology,52,2018,maybe,"The abstract does not specify patient age range or primary diagnosis. While these might be in the full paper, they cannot be confirmed from the abstract.",maybe,The abstract does not mention the cancer status of participants.,maybe,"The study includes both oral and intravenous bisphosphonates, as well as denosumab. While it includes parenterally-administered bisphosphonates, it's not exclusively focused on them.",no,No control group is mentioned in the abstract.,no,"The abstract does not explicitly mention the specific dental procedures that led to the MRONJ cases. While MRONJ typically follows dental procedures, the abstract does not document the specific procedures that were performed.",maybe,"The abstract mentions ""inclusion criteria of ARONJ/MRONJ"" but does not clearly define these criteria.",maybe,"This appears to be a retrospective analysis of CT scans, which could qualify as a retrospective cohort study, though the design isn't explicitly stated.",no,"The study includes 74 patients, which falls below the required minimum of 100 patients.",no,The abstract does not mention any follow-up period. It appears to be a cross-sectional analysis of CT scans rather than a longitudinal study.,Include,"The study fails to meet multiple screening criteria, including insufficient patient sample size, lack of documented dental procedures, absence of a follow-up period, and missing control group. Several key population characteristics remain undefined, and the research appears more focused on radiological characteristics of ARONJ/MRONJ rather than a comprehensive clinical investigation. Critical screening requirements for patient age, diagnosis, and cancer status are not clearly addressed in the abstract.",2.7
[Risk assessment of medication-related osteonecrosis of the jaw in general dental practice].,"Anna Zurányi, Enikő Vasziné Szabó, Z. Tóth",10.1556/650.2019.31204,https://doi.org/10.1556/650.2019.31204,Orvosi Hetilap,10,2019,no,The abstract does not specify age restrictions or primary diagnosis of osteoporosis. It appears to cover a broader population including oncology patients.,no,"The abstract explicitly mentions oncological disease as a major risk factor, indicating that cancer patients are included in the scope.",no,"The abstract discusses ""antiresorptive therapy"" broadly but does not specifically focus on parenterally-administered bisphosphonates for osteoporosis. It mentions oncological disease treatment as a major risk factor.",no,No control group is mentioned as this is a review of risk factors rather than a comparative study.,no,"The abstract mentions ""dentoalveolar surgery"" and ""ill-fitting denture"" as risk factors, but does not specifically report MRONJ incidence following these procedures. The paper appears to be a review of risk factors rather than a primary study of procedures.",no,"While MRONJ is discussed, the abstract does not indicate whether established diagnostic criteria were used.",no,"This appears to be a literature review (""Risk factors were collected from the PubMed database 1998-2018"") rather than a primary research study with one of the required designs.",no,"The abstract does not mention any specific subject size, as this appears to be a review article rather than a primary study.",no,No follow-up period is mentioned in the abstract.,Exclude,"This literature review on medication-related osteonecrosis of the jaw fails to meet multiple critical screening criteria, including specific study design, population restrictions, and intervention focus. The paper includes cancer patients, lacks a control group, and does not report specific MRONJ incidence following dental procedures, rendering it unsuitable for the systematic review.",0.1
Retrospective evaluation of pathologic fractures in medication related osteonecrosis of the jaw.,"Goknur Topaloglu Yasan, S. Adiloğlu, O. Koseoglu",10.1016/j.jcms.2021.03.007,https://doi.org/10.1016/j.jcms.2021.03.007,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,4,2021,no,"The mean age is 62.08 years (adults), but the study includes patients with cancer (prostate and renal cell cancer), not exclusively osteoporosis patients.",no,"The study explicitly includes patients with metastatic cancer (prostate and renal cell cancer), which directly violates this criterion.",maybe,"The study mentions zoledronic acid (77.8%) as the most commonly used anti-resorptive drug, but does not specify if it was parenterally administered for osteoporosis treatment, creating uncertainty.",no,No control group is mentioned in the abstract.,maybe,"The abstract mentions ""dento-alveolar surgical procedures"" but does not specifically document which procedures were performed. This creates some uncertainty about whether the study reported MRONJ incidence following the required invasive dental procedures.",maybe,"While MRONJ is discussed, the abstract does not clearly state the diagnostic criteria used, creating uncertainty.",no,"The abstract describes this as a ""case series study,"" which does not match the required study designs (RCT, cohort, or case-control).",yes,"The study includes 116 patients, which exceeds the minimum requirement of 100 patients.",maybe,"The abstract mentions ""median antiresorptive usage was 24 months"" but does not explicitly state the follow-up period, creating some uncertainty.",Exclude,"The study fails to meet multiple critical screening criteria, including the requirement for a specific study design, absence of cancer patients, and clear documentation of dental procedures. Significant methodological limitations, such as the inclusion of cancer patients and a case series design, render the study non-compliant with the established screening requirements. The lack of a control group and unclear diagnostic criteria further compromise the study's alignment with the specified screening criteria.",1.4
Retrospective analysis of medication-related osteonecrosis of the jaw at a maxillofacial prosthetics clinic,"Islam E. Ali, Cheewin Towithelertkul, Y. Sumita, Noriyuki Wakabayashi",10.26629/ijmp.2024.04,https://doi.org/10.26629/ijmp.2024.04,International Journal of Maxillofacial Prosthetics,0,2024,no,The study includes elderly patients but also mentions cancer patients. It's not exclusively focused on osteoporosis patients.,no,"The study explicitly includes patients with breast and prostate cancer, which violates this criterion.",no,The abstract mentions medications but does not specifically focus on parenterally-administered bisphosphonates for osteoporosis. It actually emphasizes cancer treatments (breast and prostate cancer) as risk factors.,no,No mention of a control group in the abstract.,maybe,"The abstract does not specifically document invasive dental procedures, and while it mentions ""prosthetic management,"" it does not clearly indicate whether the MRONJ cases were specifically linked to dental procedures.",maybe,"While MRONJ is the focus, the abstract does not explicitly state the diagnostic criteria used.",yes,"The study is described as a ""retrospective analysis,"" which meets the criteria for acceptable study designs.",maybe,The abstract does not specify the total number of patients included in the study.,maybe,"The study spans 12 years (2012-2024), but individual patient follow-up periods are not specified.",Include,"The study fails to meet multiple critical screening criteria, including specific focus on osteoporosis patients, parenteral bisphosphonate interventions, and exclusion of cancer patients. While the research provides insights into MRONJ, it diverges significantly from the predefined screening requirements by including cancer patients and lacking a clear control group. The broad scope and mixed patient population prevent alignment with the targeted research parameters.",2.5
Associated systemic diseases and etiologies of medication-related osteonecrosis of the jaw: a retrospective study of 265 surgical cases,"Hoon-Je Chang, Minjoo Kim, K. Ahn",10.1186/s40902-023-00377-7,https://doi.org/10.1186/s40902-023-00377-7,Maxillofacial plastic and reconstructive surgery,5,2023,no,"The study includes patients with various conditions, not exclusively osteoporosis. Only about 50% of patients had osteoporosis, while others had cancer diagnoses.",no,"The study explicitly includes patients with breast cancer, multiple myeloma, and prostate cancer, violating this criterion.",no,"While the study includes patients with osteoporosis, it's not clear if they specifically received parenterally-administered bisphosphonates. The abstract mentions ""bone targeting agents parentral"" but doesn't specify bisphosphonates.",no,The abstract doesn't mention a control group of patients not receiving anti-resorptive medications.,yes,"The study clearly documents dental procedures, including extractions, implants, and prosthesis irritations, which meets the requirement for specifically documented invasive dental procedures.",maybe,"While MRONJ is the focus of the study, the abstract doesn't explicitly state the diagnostic criteria used.",yes,"This is a retrospective review study, which meets the criteria for acceptable study designs.",yes,"The study includes 265 MRONJ operations, exceeding the minimum requirement of 100 patients.",maybe,"The abstract doesn't explicitly mention the follow-up period, so there is uncertainty about whether this criterion is met.",Include,"The study includes a large sample size and documents dental procedures, but fails to meet several critical screening criteria including population specificity, control group requirements, and clear intervention details. Mixed patient populations with cancer diagnoses and uncertain follow-up periods further complicate the study's alignment with the predefined screening requirements. Multiple methodological limitations prevent the study from fully satisfying the established screening criteria.",2.5
"The risk of osteonecrosis of the jaw (ONJ) and adverse outcomes in patients using antiresorptive drugs undergoing orthodontic treatment, A protocol for a systematic review","Julian Woolley, O. Akintola, J. Yates, M. Calasans-Maia, J. Calasans-Maia, R. Sacco",10.37766/inplasy2020.7.0124,https://doi.org/10.37766/inplasy2020.7.0124,-,0,2020,no,"Elicit could not determine if the study exclusively included adult patients (≥18 years) with a primary diagnosis of osteoporosis, as the provided abstract was incomplete and only contained a partial title.",no,"Elicit could not determine if all study participants were free from cancer or malignancies, as the provided abstract was incomplete and only contained a partial title.",no,"Elicit could not determine if the study examined parenterally-administered bisphosphonate medications for osteoporosis treatment, as the provided abstract was incomplete and only contained a partial title.",no,"Elicit could not determine if the study included a control group of patients not receiving anti-resorptive medications, as the provided abstract was incomplete and only contained a partial title.",no,"Elicit could not determine if the study reported MRONJ incidence following specifically documented invasive dental procedures, as the provided abstract was incomplete and only contained a partial title.",no,"While the abstract mentioned ONJ, Elicit could not determine if the study clearly defined and used established MRONJ diagnostic criteria, as the provided abstract was incomplete and only contained a partial title.",no,"Elicit could not determine the study design, as the provided abstract was incomplete and only contained a partial title.",no,"Elicit could not determine the subject size of the study, as the provided abstract was incomplete and only contained a partial title.",no,"Elicit could not determine the follow-up period of the study, as the provided abstract was incomplete and only contained a partial title.",Exclude,"An incomplete abstract fragment prevents comprehensive assessment of the screening criteria, rendering it impossible to determine study characteristics such as patient population, intervention details, or research methodology. Without a complete abstract, no definitive conclusions can be drawn about the study's alignment with the specified inclusion requirements.",0.1
Surgical Treatment of Medication-Related Osteonecrosis of the Jaw: A Retrospective Study,"N. Choi, Jung Han Lee, Jin Young Park, Dae-Seok Hwang",10.3390/ijerph17238801,https://doi.org/10.3390/ijerph17238801,International Journal of Environmental Research and Public Health,7,2020,no,The abstract does not specify the patient age range or primary diagnosis (whether osteoporosis or other conditions).,no,No information is provided about the cancer status of participants.,maybe,"The abstract mentions zoledronate and IV injection of drugs, which are parenterally-administered bisphosphonates. However, it does not specifically state these were for osteoporosis treatment.",no,No control group is mentioned in the abstract.,no,"The abstract does not explicitly mention specific dental procedures leading to MRONJ, and instead focuses on treatment outcomes rather than the initial procedures. This is considered a significant gap in the information provided.",yes,"The study uses AAOMS staging (stages 1, 2, or 3), which indicates the use of established diagnostic criteria.",maybe,"The study appears to be a retrospective analysis of treatment outcomes, which could qualify as a retrospective cohort study, though this is not explicitly stated.",yes,"The study includes 116 cases (109 success + 7 failure), which exceeds the minimum requirement of 100 patients.",no,"The abstract does not mention the follow-up period, making this criterion impossible to verify.",Include,"The study partially meets screening criteria with a sufficient sample size and established MRONJ diagnostic criteria, but lacks critical information about dental procedures, patient population, and follow-up period. Multiple key screening requirements remain unaddressed, including control group presence, patient age range, and specific osteoporosis treatment context. The abstract provides limited details necessary for comprehensive screening assessment.",2.8
An Update on Medication Related Osteonecrosis of the Jaw: 18 years of Experience,"Vickas Agarwal, T. Schlieve",-,-,-,1,2021,maybe,No specific information about patient age or primary diagnosis of osteoporosis.,maybe,No information about the cancer status of participants.,maybe,"The abstract mentions both intravenous and oral bisphosphonates (Pamidronate, Zoledronate, Alendronate, Risedronate), but does not specify if they were used for osteoporosis treatment.",no,No mention of a control group.,no,"The abstract does not specifically mention or document any invasive dental procedures, only generally referring to MRONJ cases.",maybe,"The abstract mentions AAOMS guidelines and diagnostic criteria, but does not clearly state which criteria were used in the study.",no,"This appears to be a review or commentary paper discussing the history of MRONJ and AAOMS guidelines, not an original research study with any of the specified designs.",no,"The abstract mentions ""99 cases"" which is below the required 100 patients threshold.",maybe,No information about the follow-up period is provided in the abstract.,Exclude,"The abstract fails to meet multiple critical screening criteria, including insufficient subject size, lack of specific dental procedures, and absence of a clear research design. Key information about patient population, intervention specifics, and follow-up period is missing, rendering the text inadequate for comprehensive analysis of medication-related osteonecrosis of the jaw.",1.4
A Comparison of the Clinical and Radiological Extent of Denosumab (Xgeva®) Related Osteonecrosis of the Jaw: A Retrospective Study,"Zineb Assili, G. Dolivet, J. Salleron, Claire Griffaton-Tallandier, Claire Egloff-Juras, B. Phulpin",10.3390/jcm10112390,https://doi.org/10.3390/jcm10112390,Journal of Clinical Medicine,8,2021,no,"The abstract doesn't specify patient age range or primary diagnosis. Given it's from a cancer institute (ICL), it's likely these are cancer patients, which would fail this criterion.",no,"The study was conducted at a cancer institute (Institut de Cancérologie de Lorraine), strongly suggesting these are cancer patients, which fails this criterion.",no,"The study examines denosumab (Xgeva®), which is not a parenterally-administered bisphosphonate but rather a monoclonal antibody. This fails to meet the criterion.",no,The abstract doesn't mention a control group of patients not receiving anti-resorptive medications.,maybe,"The abstract does not explicitly mention specific dental procedures, such as tooth extraction, implant placement, periodontal surgery, oral surgery, or removable prosthesis, that were associated with the MRONJ incidence. This lack of detail is considered a significant limitation.",maybe,"While the study discusses MRONJ and uses clinical and radiological assessment, it doesn't explicitly state which established diagnostic criteria were used.",yes,"The abstract explicitly states it's a retrospective study, which meets this criterion.",yes,"The study includes 246 patients, which exceeds the minimum requirement of 100 patients.",yes,"The study reports outcomes at 6, 12, and 24 months, meeting the minimum 6-month follow-up requirement.",Exclude,"The study fails to meet several critical screening criteria, including the use of parenterally-administered bisphosphonates and the exclusion of cancer patients. While the research includes a sufficient sample size and appropriate follow-up period, significant methodological limitations prevent it from qualifying under the specified screening requirements. The intervention type, patient population, and lack of a control group represent key disqualifying factors.",1.4
Pharmacoepidemiology and clinical characteristics of medication-related osteonecrosis of the jaw,"Hyo-jeong Son, Jin-Woo Kim, Sun-Jong Kim",10.1186/s40902-019-0210-8,https://doi.org/10.1186/s40902-019-0210-8,Maxillofacial plastic and reconstructive surgery,15,2019,no,"While the mean age was 73.98 (range 45-97), indicating adult patients, the population included patients with multiple myeloma and cancer therapy history, not exclusively osteoporosis patients.",no,"The abstract explicitly mentioned that many patients had ""history of cancer therapy"" or multiple myeloma, failing this criterion.",no,"While bisphosphonates were mentioned, the abstract indicated that patients were taking ""other drugs aside from drugs indicated for osteoporosis"" and many had multiple myeloma or cancer therapy history, suggesting the study was not focused exclusively on parenterally-administered bisphosphonates for osteoporosis.",no,"The abstract did not mention a control group of patients not receiving anti-resorptive medications, failing this criterion.",yes,"The study clearly documented specific invasive dental procedures, including tooth extraction, implant placement, and denture use, which meets the requirements of this criterion.",maybe,"The abstract did not explicitly state which diagnostic criteria were used to define MRONJ, creating uncertainty about this criterion.",yes,"The study appears to be a retrospective cohort study, which meets the requirements of this criterion.",no,"The study included 86 patients, which falls below the required minimum of 100 patients, failing this criterion.",maybe,"The abstract did not explicitly mention the follow-up period, so it is unclear if the study included a follow-up period of at least 6 months.",Exclude,"The study fails to meet multiple critical screening criteria, including insufficient sample size, mixed patient population with cancer history, and lack of a clear control group. Significant deviations from the required parameters, particularly the inclusion of patients with multiple myeloma and cancer therapy, render the study non-compliant with the established screening requirements. The research does not align with the specified criteria for a focused investigation of medication-related osteonecrosis of the jaw in osteoporosis patients.",1.4
Medication-Related Osteonecrosis of the Mandible,G. Omami,10.1177/0145561320919574,https://doi.org/10.1177/0145561320919574,"Ear, nose, & throat journal",1,2020,no,"The abstract discusses multiple conditions (breast/prostate cancer, multiple myeloma, Paget's disease, and osteoporosis) rather than focusing exclusively on osteoporosis patients.",no,"The abstract explicitly includes cancer patients, which violates this criterion.",no,"The abstract discusses bisphosphonates and denosumab, but appears to focus on their use in cancer patients rather than specifically for osteoporosis treatment.",maybe,No mention of a control group.,maybe,"The abstract mentions dental procedures (extraction, implant placement) but does not report specific MRONJ incidence following these procedures. It only discusses them generally as risk factors.",yes,"The abstract does clearly define MRONJ diagnostic criteria (""nonhealing exposed bone persisting for more than 8 weeks in a patient with current or previous treatment with antiresorptive agents but without a history of radiation therapy to the jaws"").",no,This appears to be a review article rather than a primary research study with a specific design.,no,The abstract does not mention any specific study size or patient numbers.,no,No specific follow-up period is mentioned in the abstract.,Exclude,"The abstract fails to meet multiple screening criteria, including specific study design, patient population, and intervention focus. While providing comprehensive information about medication-related osteonecrosis of the jaw, the text does not align with the required parameters for systematic review inclusion. Critical shortcomings include lack of clear patient numbers, follow-up period, and exclusive focus on osteoporosis patients without cancer.",1.4
Clinical significance of drug cessation on medication-related osteonecrosis of the jaw in patients with osteoporosis,"K. R. Mustakim, M. Eo, J. Lee, M. Seo, S. Kim",10.5125/jkaoms.2023.49.2.75,https://doi.org/10.5125/jkaoms.2023.49.2.75,Journal of the Korean Association of Oral and Maxillofacial Surgeons,4,2023,maybe,"The study includes osteoporosis patients, but does not specify age requirements, so the information is unclear.",no,No information is provided about cancer status.,maybe,"The study examines bisphosphonates, but does not specify if they are parenterally-administered, so the information is unclear.",no,"The study compares BP suspension vs. non-suspension groups, but does not include a control group of patients not receiving bisphosphonates.",maybe,"The abstract mentions ""surgery"" but does not specifically document which dental procedures were performed, so the information is unclear.",no,"While MRONJ is discussed, the abstract does not explicitly state the diagnostic criteria used, so the information is unclear.",yes,"This appears to be a retrospective cohort study comparing two groups, which meets the criteria.",no,"The study only includes 24 patients, which falls well below the required 100 patients.",yes,"The study mentions ""one-year follow-up"" which meets the 6-month minimum requirement.",Include,"The study fails to meet critical screening criteria, particularly the requirement for a minimum of 100 patients, with only 24 participants included. Multiple key methodological details are unclear or missing, including specific dental procedures, precise intervention type, and comprehensive patient population characteristics. The small sample size and incomplete documentation significantly limit the study's potential for inclusion.",2.5
