Title,Authors,DOI,DOI link,Venue,Citation count,Year,"population, indication","Reasoning for ""population, indication""",MRONJ latency,"Reasoning for ""MRONJ latency""",Control Group,"Reasoning for ""Control Group""",Procedure and Outcome,"Reasoning for ""Procedure and Outcome""",Study Design,"Reasoning for ""Study Design""",Outcome Documentation,"Reasoning for ""Outcome Documentation""","population, age","Reasoning for ""population, age""",subject size,"Reasoning for ""subject size""",intervention type,"Reasoning for ""intervention type""",diagnostic standard for MRONJ,"Reasoning for ""diagnostic standard for MRONJ""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Bisphosphonate-related osteonecrosis of jaw (BRONJ) in Japanese population: a case series of 13 patients at our clinic.,"T. Nomura, T. Shibahara, T. Uchiyama, N. Yamamoto, T. Shibui, T. Yakushiji, Akira Watanabe, Kyotaro Muramatsu, Satoshi Ogane, M. Murayama, R. Sekine, E. Nakata, Y. Fujimoto",10.2209/TDCPUBLICATION.54.117,https://doi.org/10.2209/TDCPUBLICATION.54.117,The Bulletin of Tokyo Dental College,12,2013,no,The study includes a mixed population - 5 patients with osteoporosis and 8 patients with cancer. This explicitly fails the criterion requiring only osteoporosis patients.,no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence.",no,The abstract does not mention a control group of patients not taking anti-resorptive medications.,no,"While the study discusses BRONJ treatment, it doesn't specifically report incidence following the specified dental procedures.",no,"This appears to be a case series, which is explicitly excluded by the criteria.",maybe,"The study does mention an 11-month follow-up period, which meets the 6-month minimum requirement. However, it focuses on treatment outcomes rather than incidence.",maybe,"While not explicitly stated, given the context of osteoporosis and cancer patients, it's likely these are adult patients, but this isn't definitively confirmed.",no,"The study only includes 13 total patients (5 with osteoporosis), which is well below the required 100 subjects.",no,"The study includes both oral bisphosphonates (risedronate, alendronate) and parenteral bisphosphonates (zoledronate), failing the criterion requiring only oral bisphosphonates.",no,The abstract does not mention specific diagnostic standards for BRONJ.,Exclude,"The study fails multiple critical screening criteria, including a mixed patient population with cancer patients, a small sample size of only 13 patients, and a case series design that does not meet the required study methodology. Additionally, the research includes both oral and parenteral bisphosphonates, lacks a control group, and does not specify diagnostic standards for MRONJ, rendering it ineligible for the systematic review.",0.1
Can dental panoramic radiographic findings serve as indicators for the development of medication-related osteonecrosis of the jaw?,"C. Klingelhöffer, Manja Klingelhöffer, S. Müller, T. Ettl, U. Wahlmann",10.1259/dmfr.20160065,https://doi.org/10.1259/dmfr.20160065,Dento maxillo facial radiology,34,2016,no,"The study includes patients taking medication for both osteoporosis and malignant conditions, which violates the requirement for a pure osteoporosis population.",no,"The study does not provide information about the time intervals between medication start, dental procedures, and MRONJ incidence.",yes,"The study explicitly includes a control group of 60 patients without antiresorptive therapy, meeting this criterion.",no,The study focuses on radiographic findings rather than MRONJ incidence following specific dental procedures.,yes,"The study is explicitly stated as a case-control study, which meets the criteria.",no,"The study does not document MRONJ incidence after dental treatment, but rather looks at radiographic findings in patients who already have MRONJ.",maybe,"The abstract does not specify the age of the subjects, creating uncertainty about whether this criterion is met.",no,"The study only includes 60 patients in the antiresorptive therapy group, which is below the required 100 subjects.",maybe,"The abstract only mentions ""antiresorptive therapy"" without specifying if it's oral bisphosphonates or other types of medications, creating uncertainty about whether this criterion is met.",maybe,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The study fails to meet multiple critical screening criteria, including a mixed patient population, insufficient sample size, and lack of focus on MRONJ incidence after dental procedures. Key methodological limitations include unclear diagnostic standards, absence of specific intervention details, and a research design that diverges from the required protocol. These significant deviations render the study non-compliant with the established screening requirements.",1.4
Reporting Criteria for Clinical Trials on Medication-Related Osteonecrosis of the Jaw (MRONJ): A Review and Recommendations,"Camille Gaudet, Stéphane Odet, C. Meyer, B. Chatelain, E. Weber, A. Parmentier, S. Derruau, S. Laurence, C. Mauprivez, Esteban Brenet, H. Kerdjoudj, M. Fénelon, J. Fricain, N. Zwetyenga, D. Hoarau, R. Curien, É. Gérard, A. Louvrier, F. Gindraux",10.3390/cells11244097,https://doi.org/10.3390/cells11244097,Cells,5,2022,no,"While the abstract mentions anti-resorptive agents, it discusses them in general terms and does not specify osteoporosis patients exclusively.",no,"There is no mention of time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not mention a control group, as this is a review article about protocol development rather than an original study.",no,The abstract does not mention specific dental procedures.,no,"This is a review article and protocol development paper, not one of the required study designs (RCT, cohort, or case-control).",no,The paper discusses the lack of standardized outcome documentation but does not present its own follow-up data.,no,The abstract does not specify age requirements for the population.,no,"This is not an original study with subjects, but rather a review of 43 articles.",no,The abstract mentions anti-resorptive agents broadly but does not specify oral bisphosphonates exclusively.,no,"While the paper discusses the need for standardized criteria, it does not present its own diagnostic standards.",Exclude,"This review article fails to meet multiple screening criteria, primarily because it is a protocol development paper rather than an original research study. The document lacks specific patient data, does not specify intervention types, and does not present original research outcomes, rendering it ineligible for inclusion in the systematic review.",0.1
Osteoradionecrosis and medication-related osteonecrosis of the jaw: similarities and differences.,"K. Grisar, Matthias Schol, J. Schoenaers, T. Dormaar, R. Coropciuc, V. Poorten, C. Politis",10.1016/j.ijom.2016.06.016,https://doi.org/10.1016/j.ijom.2016.06.016,International Journal of Oral & Maxillofacial Surgery,33,2016,no,"While the study includes MRONJ patients, it does not specify that they were taking medication for osteoporosis. The population appears to be mixed with no clear indication of the underlying condition, which is a significant concern.",no,"The abstract does not document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,"The study does mention dental extractions as a precipitating event, meeting this criterion.",yes,"This appears to be a retrospective comparative study, which would qualify under the acceptable study designs.",no,"While the study documents MRONJ cases, the follow-up period is not mentioned in the abstract.",maybe,"The abstract does not explicitly state the age of the subjects, so the age of the population is unclear.",no,"The study includes 74 MRONJ patients, which is below the required 100 subjects threshold.",no,The abstract does not specify the type of medication (oral bisphosphonate vs. other) being taken by the MRONJ patients.,no,The abstract does not mention the diagnostic standards used for MRONJ.,Include,"The study fails to meet critical screening criteria, including insufficient sample size, unclear medication type, and lack of specificity regarding patient population and diagnostic standards. Multiple key requirements were not addressed, such as control group presence, precise medication indication, and comprehensive documentation of MRONJ latency and follow-up period. These deficiencies significantly compromise the study's alignment with the established screening criteria.",2.7
Medication‐Related Osteonecrosis of the Jaw Caused by Drugs With Antiangiogenic Effects—What Should the Clinician Be Aware of and What Course of Treatment Can Be Applied? A Systematic Review of Case Series and Case Reports,"Francisca Jennifer Duarte de Oliveira, Moan Jéfter Fernandes Costa, Carla Samily de Oliveira Costa, L. D. de Souza",10.1111/ors.12940,https://doi.org/10.1111/ors.12940,Oral Surgery,0,2024,no,"The abstract explicitly states that ""most of the patients had cancer"" and only 20% were treated for other diseases, failing the criterion requiring subjects to be specifically osteoporosis patients.",no,"The abstract does not document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not mention a control group, indicating that this is a systematic review of case reports rather than an original study with a control group.",yes,"The abstract does mention dental extraction as a procedure associated with MRONJ, meeting this criterion.",no,"This is a systematic review of case reports, which explicitly fails the criterion requiring RCT, cohort, or case-control study designs.",no,"While MRONJ incidence is discussed, the follow-up period is not specified.",yes,"The abstract mentions a mean age of 58 years, which meets the criterion of subjects being over 18 years old.",no,"The review includes 32 articles, but this is not an original study with a medication group of subjects, so the subject size criterion is not met.",no,"The abstract focuses on antiangiogenic drugs, particularly bevacizumab (40% of cases), and does not study oral bisphosphonates for osteoporosis, failing the intervention type criterion.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The systematic review fails multiple critical screening criteria, including inappropriate study design, predominantly cancer patient population, and focus on antiangiogenic drugs rather than oral bisphosphonates. Key methodological requirements such as control group, specific diagnostic standards, and precise intervention type are not met, rendering the study unsuitable for inclusion in the systematic review.",0.1
Antiresorptive drug-related changes of the mandibular bone densitiy in medication-related osteonecrosis of the jaw patients.,"N. Heim, W. Götz, F. Kramer, A. Faron",10.1259/dmfr.20190132,https://doi.org/10.1259/dmfr.20190132,Dento maxillo facial radiology,18,2019,maybe,"The study included patients taking bisphosphonates and denosumab, which is a mixed population. There was no explicit mention that the subjects were chosen from patients taking medication for osteoporosis.",no,"The study did not document the time intervals between the start of medication, dental procedures, and MRONJ incidence.",yes,"The study included a control group of 40 patients not taking anti-resorptive medications, which meets the requirement for this criterion.",no,The study focused on bone density measurements and did not mention any dental procedures or MRONJ incidence following those procedures.,maybe,"The study design was not explicitly stated, so it is unclear if it was a randomized controlled trial, prospective cohort study, retrospective cohort study, or case-control study.",no,"The study did not report MRONJ incidence after dental treatment, and there was no mention of a follow-up period.",maybe,"The age of the subjects was not explicitly mentioned, so it is unclear if the population was over 18 years old.",yes,"The study included a total of 101 patients, with 35 in the bisphosphonate group, which meets the minimum requirement of 100 subjects.",maybe,"The study included oral bisphosphonates, but also included denosumab, which is a non-bisphosphonate medication. The specification of oral vs. IV administration was not provided.",no,The study did not mention the diagnostic standards used for MRONJ.,Include,"The study partially meets screening criteria with a control group and adequate sample size, but fails to address key requirements such as dental procedure outcomes, MRONJ diagnostic standards, and specific intervention details. Mixed population, unclear study design, and absence of critical outcome measurements significantly limit its alignment with the screening criteria. The research appears more focused on bone density measurements than the specified MRONJ investigation parameters.",2.5
Medication-related osteonecrosis of the jaw. Introduction of a new modified experimental model.,"Cláudia Curra, C. Cardoso, O. Ferreira, M. Curi, M. Matsumoto, B. Cavenago, P. Santos, J. Santiago",10.1590/S0102-865020160050000003,https://doi.org/10.1590/S0102-865020160050000003,Acta Cirurgica Brasileira,15,2016,no,"The study uses rats, not human patients taking medication for osteoporosis, so it does not meet the population indication requirement.",yes,"The study documents the time intervals between medication administration and extraction, and follows up at 14/28/42 days, which meets the MRONJ latency requirement.",yes,"The study includes a control group of 15 rats not receiving medication, which meets the requirement for a control group.",yes,"The study examines MRONJ following tooth extraction, which meets the procedure and outcome requirement.",yes,"This is an experimental study with a control group, which would qualify as a controlled trial.",yes,"The study clearly documents MRONJ incidence and has follow-up periods, which meets the outcome documentation requirement.",no,"This is an animal study using rats, not human subjects over 18 years old, so it does not meet the age requirement.",no,"The total sample size is 45 rats (30 experimental + 15 control), which is below the required 100 subjects.",no,"The study uses intravenous zoledronic acid, not oral bisphosphonates, so it does not meet the intervention type requirement.",yes,"The study mentions using clinical analysis, microtomography, and histological analysis for MRONJ diagnosis, which meets the diagnostic standard requirement.",Exclude,"This experimental rat study fails key screening criteria by using an animal model instead of human subjects, employing intravenous rather than oral bisphosphonates, and having a sample size below 100. Despite meeting several methodological criteria like having a control group and documenting MRONJ incidence, the fundamental population and intervention requirements are not satisfied.",0.1
A population based study of multiple myeloma patients with medication-related osteonecrosis of the jaw.,"D. Auziņa, A. Slaidina, M. Sevastjanova, R. Erts, A. Lejnieks, S. Lejniece",-,-,Stomatologija,6,2019,no,"The study focuses on multiple myeloma patients, not osteoporosis patients, which is a clear violation of the inclusion criteria.",yes,"The study documents the time interval from medication start to MRONJ manifestation, meeting this criterion.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,"The study mentions dental extraction as a triggering factor for MRONJ, meeting this criterion.",yes,"The study is described as a retrospective analysis, which meets the acceptable study design criteria.",maybe,"The study documents MRONJ incidence and appears to have adequate follow-up, though the exact follow-up period isn't specified.",yes,"While not explicitly stated, the context suggests the study included adult patients with multiple myeloma, so the age criterion was likely met.",yes,"The study includes 88 patients in the bisphosphonate group, which meets the requirement of over 100 subjects.",no,"The study specifically mentions ""intravenous nitrogen-containing BPs"" which explicitly violates the criterion requiring oral bisphosphonates.",yes,"The abstract provides a clear diagnostic definition of MRONJ, meeting this criterion.",Exclude,"The study focuses on multiple myeloma patients receiving intravenous bisphosphonates, which fundamentally conflicts with the specified screening criteria for osteoporosis patients taking oral bisphosphonates. Critical violations include the wrong patient population and medication type, rendering the study ineligible for inclusion in the systematic review. Despite meeting some secondary criteria, these core deviations disqualify the research from further consideration.",0.1
Platelet concentrates as an adjunctive therapy for medication-related osteonecrosis of the Jaw: A systematic review and meta-analysis,"M. Fabbro, S. Taschieri, F. Goker",10.4103/GFSC.GFSC_19_18,https://doi.org/10.4103/GFSC.GFSC_19_18,-,6,2018,maybe,"The abstract mentions ""patients under antiresorptive therapy"" but doesn't specifically exclude cancer patients or mixed populations.",no,"The abstract doesn't document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract mentions ""control"" in the context of comparing APC treatment, but this isn't a control group of patients not taking anti-resorptive medications.",yes,"The abstract mentions tooth extraction as a procedure, which is one of the specified procedures.",no,"This is a systematic review, not a primary study of the required designs.",yes,"The abstract mentions follow-up ranging from 3 to 94 months, which meets the 6-month requirement.",maybe,The abstract doesn't explicitly state the age of subjects.,maybe,"The review includes 946 patients total, but this is across 18 studies. We can't determine if individual studies had >100 subjects.",no,"The abstract only mentions ""antiresorptive therapy"" broadly, not specifically oral bisphosphonates.",no,The abstract doesn't mention specific diagnostic standards for MRONJ.,Exclude,"The systematic review fails to meet multiple critical screening criteria, including specific study design requirements, precise intervention type, and comprehensive population specifications. While addressing medication-related osteonecrosis of the jaw, the study lacks the methodological rigor needed to satisfy the predefined inclusion standards. Key deficiencies include absence of clear diagnostic criteria, undefined patient population, and non-compliance with required study design parameters.",1.4
Osseous changes in patients with medication-related osteonecrosis of the jaws.,"Z. Gönen, Canay Yillmaz Asan, G. Zararsiz, E. Kılıç, A. Alkan",10.1259/dmfr.20170172,https://doi.org/10.1259/dmfr.20170172,Dento maxillo facial radiology,15,2018,maybe,"While the study is about MRONJ patients, it does not explicitly state that the subjects are osteoporosis patients or exclude cancer patients, so the population indication is unclear.",no,"The abstract does not mention any time intervals between medication start, dental procedures, and MRONJ incidence.",yes,"The study included a control group of patients not taking anti-resorptive medications, which is a positive factor according to the screening criteria.",no,The study focuses on osseous changes in MRONJ patients but does not report MRONJ incidence following specific dental procedures.,yes,"The study is a retrospective study, which is one of the accepted study designs according to the screening criteria.",no,The study does not document MRONJ incidence after dental treatment or mention any follow-up period.,maybe,"The age of the subjects was not specified in the abstract, so it is unclear if the population meets the age requirement of over 18 years old.",no,"The study only included 25 patients, which is well below the required 100 subjects for the medication group at the final statistical analysis stage.",maybe,"The abstract only mentions ""antiresorptive agents"" without specifying if they are oral bisphosphonates, so the intervention type is unclear.",no,"While the study uses CBCT imaging, it does not explicitly mention the diagnostic standards for MRONJ.",Exclude,"The study fails to meet multiple critical screening criteria, including insufficient sample size, lack of clear diagnostic standards, and absence of specific dental procedure-related outcomes. While the research provides insights into MRONJ osseous changes, it does not align with the required methodological and population specifications for the screening protocol.",1.4
Medication-related osteonecrosis of the jaw: An update,H. Bansal,10.4103/njms.NJMS_236_20,https://doi.org/10.4103/njms.NJMS_236_20,National Journal of Maxillofacial Surgery,14,2022,no,"The abstract mentions both osteoporosis and multiple myeloma patients, indicating a mixed population, which fails the criterion requiring exclusive focus on osteoporosis patients.",no,No information about time intervals is provided.,no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"The abstract only briefly mentions ""tooth extraction"" as a risk factor but does not report specific MRONJ incidence following procedures.",no,This appears to be a review/update paper rather than a primary research study with any of the specified designs.,no,No specific follow-up period or MRONJ incidence documentation is mentioned.,maybe,"The abstract mentions ""aging population"" but does not specify the age requirements, so it is unclear if this criterion is met.",no,No specific subject numbers are mentioned in the abstract.,no,"The abstract discusses both bisphosphonates and denosumab, and mentions both oral and intravenous treatments, which fails the criterion requiring exclusive focus on oral bisphosphonates.",no,"While the abstract mentions ""staging and treatment guidelines,"" it does not specify diagnostic standards.",Exclude,"This review paper fails multiple critical screening criteria, including mixed patient populations, inclusion of non-bisphosphonate medications, and lack of a primary research design. The abstract does not provide specific details about subject size, diagnostic standards, or MRONJ incidence following dental procedures, rendering it unsuitable for systematic review inclusion.",0.1
Medication-related osteonecrosis of the jaw in cancer patients: Case series and review of the current literature,"Karen Maciel Reyes Castillo, Miguel Ángel Ocampo Benítez, Omar Peña Curiel",10.21142/2523-2754-1003-2022-123,https://doi.org/10.21142/2523-2754-1003-2022-123,Revista Científica Odontológica,1,2022,no,"The study specifically focuses on cancer patients taking bone modifying agents (BMA), which explicitly violates the criterion requiring subjects to be osteoporosis patients only.",no,"The abstract doesn't document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not mention a control group, so no points were added for this criterion.",yes,"The study mentions tooth extraction and tooth loss as procedures leading to MRONJ, which meets this criterion.",no,"This appears to be a case series of 4 patients, which is explicitly excluded by the criteria.",maybe,"While the study documents MRONJ incidence and mentions follow-up, the duration of follow-up is not specified.",maybe,"The abstract does not explicitly state the age of the subjects, though they are likely adults given the context.",no,"The study only includes 4 patients, which is well below the required 100 subjects.",no,"The study mentions bone modifying agents (BMA) but doesn't specify if they are oral bisphosphonates. Moreover, it's in the context of cancer treatment, not osteoporosis.",yes,"The abstract mentions using AAOMS classification for MRONJ diagnosis, which meets this criterion.",Exclude,"The study focuses on cancer patients with bone modifying agents, which deviates from the required osteoporosis patient population and fails multiple critical screening criteria. With only four patients and a case series design, the research does not meet the systematic review's methodological requirements for sample size, study design, and population specificity. Consequently, the paper would be excluded from further review based on these significant methodological limitations.",0.1
Medication Related Osteonecrosis of the Jaw: 2021 Position Statement of the Korean Society for Bone and Mineral Research and the Korean Association of Oral and Maxillofacial Surgeons,"Jin-Woo Kim, M. Kwak, J. Han, Sung-Tak Lee, H. Y. Kim, Se Hwa Kim, Junho Jung, J. K. Lee, Young-Kyun Lee, Yong-Dae Kwon, D. Kim",10.11005/jbm.2021.28.4.279,https://doi.org/10.11005/jbm.2021.28.4.279,Journal of Bone Metabolism,21,2021,no,"While the abstract mentions osteoporosis patients, it also discusses other conditions (malignant bone metastases, multiple myeloma, Paget's disease) and appears to be a general review rather than a specific study of osteoporosis patients. Therefore, the study fails this criterion.",no,"No information about time intervals is provided, so no points were added for this criterion.",no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"While MRONJ is discussed, the abstract doesn't mention specific dental procedures or their relationship to MRONJ incidence. Therefore, the study fails this criterion.",no,"This appears to be a position paper/guideline document rather than any of the required study designs, so the study fails this criterion.",no,"No specific follow-up periods or incidence data are mentioned, so the study fails this criterion.",maybe,"The abstract does not specify the age requirements of the study population, so the reasoning for this criterion is unknown.",maybe,"No subject numbers are mentioned in the abstract, so the reasoning for this criterion is unknown.",no,"While bisphosphonates are mentioned, the abstract discusses multiple types of medications including denosumab and bevacizumab, not just oral bisphosphonates. Therefore, the study fails this criterion.",maybe,"The abstract mentions that diagnostic standards were developed and revised, but doesn't specify them. Therefore, the study partially meets this criterion.",Exclude,"This position paper fails multiple screening criteria, including specific study design requirements, population selection, and intervention type. The document appears to be a guideline development effort rather than an original research study, lacking the necessary methodological elements such as control groups, specific subject populations, and detailed outcome measurements. Consequently, the abstract does not meet the established screening criteria for inclusion.",0.1
Osteonecrosis of the jaw in patients treated with denosumab: A multicenter case series.,"Suad Aljohani, R. Gaudin, J. Weiser, M. Tröltzsch, M. Ehrenfeld, G. Kaeppler, R. Smeets, S. Otto",10.1016/j.jcms.2018.05.046,https://doi.org/10.1016/j.jcms.2018.05.046,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,53,2018,no,"The study includes mixed populations (both cancer patients and osteoporosis patients), which explicitly violates this criterion. The abstract mentions ""patients receiving denosumab for the treatment of metastatic bone disease and osteoporosis.""",maybe,"The abstract mentions a mean period of 6 ± 3.4 months for denosumab discontinuation, but doesn't clearly document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,The abstract does not mention a control group of patients not taking anti-resorptive medications.,yes,"The study reports MRONJ incidence following dental procedures, specifically mentioning extraction (55.6% of cases).",yes,"The study is a retrospective review, which meets the acceptable study design criteria.",maybe,"The study documents MRONJ incidence and treatment outcomes, but the follow-up period is not explicitly stated.",yes,"The mean patient age was 70 ± 9 years, meeting the >18 years criterion.",no,"The study includes 63 patients, which is below the required 100 subjects for the medication group.",no,"The study focuses on denosumab, not oral bisphosphonates. While some patients had previous bisphosphonate use, this was not the primary intervention being studied.",maybe,The abstract mentions DRONJ stages but doesn't explicitly state the diagnostic standards used.,Exclude,"The study fails key screening criteria due to a mixed patient population including cancer patients, a sample size below 100, and focus on denosumab rather than oral bisphosphonates. Critical methodological limitations include the absence of a control group and lack of clear diagnostic standards for MRONJ. These significant deviations from the specified screening requirements render the study unsuitable for inclusion in the systematic review.",1.4
Risk factors of medication‐related osteonecrosis of the jaw in preventive tooth extraction before bone resorption inhibitor administration: A multicenter nested case–control study,"T. Saito, Atsushi Nishikawa, Yuko Hara‐Saito, Andrea Rei Estacio Salazar, A. Kurokawa, A. Iida, M. Yamaga, H. Kano, Y. Kato, Y. Takata, H. Nishiyama, N. Kitamura, Takahiro Tanaka, R. Takagi",10.1002/osi2.1122,https://doi.org/10.1002/osi2.1122,Oral Science International,1,2021,no,"The study specifically focuses on patients taking medication for malignant tumors, not osteoporosis, which is a clear violation of the inclusion criteria.",yes,The study documents the time interval between tooth extraction and medication start (within 1 year) and follows patients for 1-3 years after medication initiation.,no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,"The study focuses on tooth extraction, which is one of the specified dental procedures.",yes,"The study is described as a ""nested case-control study,"" which meets the acceptable study design criteria.",yes,"The study clearly documents MRONJ incidence and has a follow-up period of at least 1 year, meeting the 6-month minimum requirement.",maybe,"While not explicitly stated, the study is likely focused on adult patients since it involves cancer patients receiving zoledronic acid/denosumab, but this is not certain.",no,"The study includes 58 patients total, with 180 teeth analyzed, which is below the required 100 subjects for the medication group.",no,"The study uses zoledronic acid and/or denosumab, which are not oral bisphosphonates. Zoledronic acid is typically administered intravenously, and denosumab is a monoclonal antibody, not a bisphosphonate.",maybe,"While MRONJ is discussed, the abstract doesn't explicitly mention diagnostic standards.",Exclude,"The study focuses on cancer patients receiving zoledronic acid/denosumab, which critically fails the screening criteria for osteoporosis medication research. Key disqualifying factors include the wrong patient population, non-oral bisphosphonate medication, and insufficient sample size. Multiple screening requirements were not met, rendering the study ineligible for inclusion.",0.1
"Risk factors for medication-related osteonecrosis of the jaws: a case-control study in Queensland, Australia",K. McGowan,-,-,-,0,2019,no,"The study included a mixed population of patients being treated for 39 different systemic diseases, which does not meet the criterion of focusing specifically on osteoporosis patients.",no,"The abstract does not mention documenting the time intervals between medication start, dental procedures, and MRONJ incidence, so this information is not provided.",yes,"The study included a control group of patients not taking anti-resorptive medications, which meets the criterion.",yes,"The study reports on dental procedures including extractions and mentions MRONJ incidence following these procedures, which meets the criterion.",yes,"The paper includes case-control studies, which is one of the accepted study designs.",maybe,"While the study documents MRONJ incidence, the specific follow-up period is not mentioned in the abstract, so this information is unclear.",maybe,"The abstract does not explicitly state the age range of the participants, but given the context of antiresorptive medication use, it is likely that the subjects were adults over 18 years old.",maybe,"The specific number of subjects in the case-control studies is not mentioned in the abstract, so the subject size cannot be determined.",no,"The study included ""antiresorptive and antiangiogenic medications"" broadly, not specifically oral bisphosphonates, which does not meet the criterion.",maybe,"The abstract does not explicitly state the diagnostic standards used for MRONJ, so this information is unclear.",Include,"The study involves a mixed patient population with various systemic diseases and broad medication types, which deviates from the specified screening criteria for osteoporosis patients taking oral bisphosphonates. While the research includes a control group and case-control study design, it fails to meet key requirements such as population specificity and intervention type. Multiple screening criteria remain unclear or unmet, suggesting the study does not align with the predefined inclusion parameters.",2.7
Radiographic bone loss and the risk of medication‐related osteonecrosis of the jaw (MRONJ) in multiple myeloma patients—A retrospective case control study,"Taggreed Wazzan, D. Kashtwari, W. Almaden, Y. Gong, Yiqing Chen, J. Moreb, J. Katz",10.1111/scd.12318,https://doi.org/10.1111/scd.12318,"Special Care in Dentistry: managing special patients, settings, and situations",11,2018,no,"The study specifically focuses on multiple myeloma patients, not osteoporosis patients, which is a clear violation of the inclusion criteria.",no,"The abstract mentions ""duration of bisphosphonate treatments"" but doesn't document specific time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",no,"While the study looks at MRONJ, it doesn't specifically report incidence following the required dental procedures. Instead, it focuses on periodontal status and bone loss.",yes,"This appears to be a retrospective cohort study, which meets the criteria.",maybe,"While MRONJ is documented, the follow-up period is not specified.",maybe,"While specific ages aren't mentioned, the study involves multiple myeloma patients, who are typically adults. However, this isn't explicitly stated, so the reasoning is uncertain.",no,"The study includes 100 MM patients and 16 MM patients with MRONJ, which is below the required 100 subjects for the medication group.",no,"The study mentions bisphosphonate (BP) treatments, but doesn't specify if they're oral or intravenous. Aredia (zoledronic acid) is mentioned, which is typically intravenous, so the reasoning suggests this is likely a failure.",no,The abstract doesn't explicitly mention diagnostic standards for MRONJ.,Exclude,"The study focuses on multiple myeloma patients taking bisphosphonates, which deviates from the required osteoporosis patient population and fails to meet several critical screening criteria. Insufficient sample size, unclear intervention type, and lack of specified diagnostic standards further disqualify the research from systematic review inclusion. The fundamental mismatch in patient population represents a critical exclusion factor.",1.4
Oral bisphosphonate-induced osteonecrosis complications in patients undergoing tooth extraction: a systematic review and literature updates.,"M. Dioguardi, M. Di Cosola, C. Copelli, S. Cantore, C. Quarta, G. Nitsch, D. Sovereto, F. Spirito, G. A. Caloro, A. Cazzolla, R. Aiuto, E. Cascardi, A. Greco Lucchina, L. Lo Muzio, A. Ballini, F. Mastrangelo",10.26355/eurrev_202307_32996,https://doi.org/10.26355/eurrev_202307_32996,European Review for Medical and Pharmacological Sciences,3,2023,maybe,"The abstract focuses on patients taking oral bisphosphonates, but does not explicitly exclude cancer patients or specify if the population is purely osteoporosis patients, creating uncertainty about the population indication.",maybe,"The abstract mentions that ""duration of exposure to oral bisphosphonates influences the onset of complications"" but does not provide specific time intervals, partially meeting this criterion.",no,"The abstract does not mention a control group, which is a significant limitation.",yes,"The abstract clearly focuses on tooth extraction and MRONJ outcomes, meeting this criterion.",no,"This is a systematic review of other studies, not a primary research study, which fails to meet the criterion as systematic reviews are not included in the acceptable study designs.",no,"While the abstract discusses MRONJ incidence, it does not specify the follow-up period length.",maybe,"The abstract does not explicitly state the age range of the subjects, creating uncertainty about whether the population meets the age requirement.",no,"The abstract does not mention the total number of subjects included in the analysis, which is a critical missing piece of information.",yes,"The abstract specifically focuses on oral bisphosphonates, meeting this criterion.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The systematic review fails to meet multiple critical screening criteria, including lacking a control group, unclear subject demographics, and being a review rather than a primary research study. While addressing oral bisphosphonates and tooth extraction, the abstract lacks specificity in diagnostic standards, patient population, and follow-up period. The fundamental study design disqualifies it from meeting the established screening requirements.",1.4
